Time(s),Res(O),Angles(deg)
1733109933.305473,"(120.75, 319.25, 288.74, 152.09)","(26.08, 22.85)"
1733109933.3419049,"(120.75, 319.25, 288.63, 152.17)","(26.08, 22.85)"
1733109933.3783245,"(120.75, 319.25, 288.63, 152.04)","(26.16, 22.77)"
1733109933.415359,"(120.75, 319.38, 288.53, 152.13)","(26.16, 22.77)"
1733109933.4528928,"(120.75, 319.38, 288.53, 152.77)","(26.16, 22.77)"
1733109933.489474,"(120.75, 319.38, 288.53, 152.68)","(26.08, 22.85)"
1733109933.5264957,"(120.75, 319.38, 288.43, 152.72)","(26.08, 22.85)"
1733109933.5596845,"(120.75, 319.38, 288.32, 152.68)","(25.830000000000002, 22.94)"
1733109933.5961049,"(120.75, 319.25, 288.22, 152.68)","(26.08, 22.85)"
1733109933.632743,"(120.75, 319.25, 288.12, 152.85)","(25.830000000000002, 22.94)"
1733109933.6700747,"(120.75, 319.25, 288.12, 153.02)","(26.08, 22.85)"
1733109933.706906,"(120.75, 319.25, 288.12, 153.19)","(26.08, 22.85)"
1733109933.743348,"(120.75, 319.25, 288.12, 153.32)","(26.059999999999995, 22.85)"
1733109933.7800405,"(120.75, 319.25, 288.12, 153.32)","(26.13, 22.94)"
1733109933.817248,"(120.75, 319.25, 288.12, 153.24)","(26.39, 22.85)"
1733109933.8538828,"(120.75, 319.25, 288.12, 153.06)","(26.500000000000004, 22.74)"
1733109933.8904977,"(120.75, 319.25, 288.22, 153.19)","(26.3, 22.94)"
1733109933.923914,"(120.75, 319.25, 288.12, 153.28)","(26.3, 22.94)"
1733109933.96086,"(120.75, 319.25, 288.22, 153.32)","(26.3, 22.94)"
1733109933.9970317,"(120.75, 319.25, 288.22, 153.45)","(26.3, 22.94)"
1733109934.034446,"(120.75, 319.25, 288.32, 153.49)","(26.75, 22.65)"
1733109934.0714014,"(120.75, 319.25, 288.43, 153.54)","(26.3, 22.94)"
1733109934.1078684,"(120.75, 319.25, 288.43, 153.58)","(26.39, 22.85)"
1733109934.1450973,"(120.75, 319.38, 288.43, 153.97)","(26.549999999999997, 22.85)"
1733109934.1810522,"(120.75, 319.38, 288.43, 154.27)","(26.470000000000002, 22.77)"
1733109934.2188787,"(120.75, 319.38, 288.43, 154.27)","(26.610000000000003, 22.77)"
1733109934.2515242,"(120.75, 319.38, 288.53, 154.4)","(26.689999999999998, 22.85)"
1733109934.287876,"(120.75, 319.38, 288.53, 154.61)","(26.77, 22.77)"
1733109934.3248951,"(120.75, 319.38, 288.43, 154.92)","(26.180000000000003, 23.06)"
1733109934.362209,"(120.75, 319.38, 288.43, 155.14)","(26.689999999999998, 22.85)"
1733109934.3994808,"(120.75, 319.38, 288.32, 155.14)","(26.44, 22.94)"
1733109934.4358535,"(120.75, 319.38, 288.22, 155.09)","(26.53, 22.85)"
1733109934.4728172,"(120.75, 319.38, 288.32, 155.22)","(26.44, 22.94)"
1733109934.5087707,"(120.75, 319.38, 288.32, 155.27)","(26.53, 22.85)"
1733109934.5465398,"(120.75, 319.38, 288.22, 154.92)","(26.53, 22.85)"
1733109934.578586,"(120.75, 319.38, 288.22, 155.14)","(26.1, 23.14)"
1733109934.6161337,"(120.75, 319.38, 288.12, 155.22)","(26.180000000000003, 23.06)"
1733109934.6529503,"(120.75, 319.38, 288.12, 155.18)","(26.180000000000003, 23.06)"
1733109934.689808,"(120.75, 319.38, 288.12, 154.87)","(26.89, 22.65)"
1733109934.7263536,"(120.75, 319.38, 288.12, 154.66)","(26.3, 22.94)"
1733109934.7631197,"(120.75, 319.38, 288.01, 154.7)","(26.3, 22.94)"
1733109934.7999716,"(120.75, 319.38, 287.91, 154.48)","(26.34, 23.06)"
1733109934.8370905,"(120.75, 319.38, 287.81, 154.27)","(26.34, 23.06)"
1733109934.874149,"(120.75, 319.38, 287.81, 154.14)","(26.549999999999997, 22.85)"
1733109934.9103262,"(120.75, 319.38, 287.91, 154.23)","(26.3, 22.94)"
1733109934.9431674,"(120.75, 319.38, 287.91, 154.4)","(26.549999999999997, 22.85)"
1733109934.9808476,"(120.75, 319.38, 288.01, 154.4)","(26.549999999999997, 22.85)"
1733109935.0175223,"(120.75, 319.38, 287.91, 154.44)","(26.549999999999997, 22.85)"
1733109935.0538566,"(120.75, 319.38, 287.91, 154.53)","(26.3, 22.94)"
1733109935.0905704,"(120.75, 319.38, 287.91, 154.61)","(26.459999999999997, 22.94)"
1733109935.127919,"(120.75, 319.38, 287.81, 154.74)","(26.34, 23.06)"
1733109935.1645246,"(120.75, 319.38, 287.81, 154.79)","(26.44, 22.94)"
1733109935.2013898,"(120.75, 319.38, 287.81, 154.66)","(26.44, 22.94)"
1733109935.2385888,"(120.75, 319.38, 287.81, 154.79)","(26.44, 22.94)"
1733109935.270657,"(120.75, 319.38, 287.81, 154.61)","(26.44, 22.94)"
1733109935.3080804,"(120.75, 319.38, 287.81, 154.57)","(26.44, 22.94)"
1733109935.345245,"(120.75, 319.38, 287.81, 154.7)","(26.44, 22.94)"
1733109935.381754,"(120.75, 319.38, 287.81, 154.87)","(26.44, 22.94)"
1733109935.419057,"(120.75, 319.38, 287.81, 154.96)","(26.44, 22.94)"
1733109935.4556124,"(120.75, 319.38, 287.81, 154.87)","(26.44, 22.94)"
1733109935.491883,"(120.75, 319.38, 287.81, 154.83)","(26.44, 22.94)"
1733109935.5290198,"(120.75, 319.38, 287.81, 154.79)","(26.44, 22.94)"
1733109935.5658877,"(120.75, 319.38, 287.81, 154.74)","(26.44, 22.94)"
1733109935.603254,"(120.75, 319.38, 287.7, 154.7)","(26.320000000000004, 23.06)"
1733109935.635364,"(120.75, 319.38, 287.7, 154.92)","(26.44, 22.94)"
1733109935.6728673,"(120.75, 319.38, 287.7, 154.83)","(26.44, 22.94)"
1733109935.709406,"(120.75, 319.38, 287.7, 154.74)","(26.34, 23.06)"
1733109935.7465646,"(120.75, 319.38, 287.7, 154.87)","(26.459999999999997, 22.94)"
1733109935.782563,"(120.75, 319.25, 287.81, 154.7)","(26.48, 23.06)"
1733109935.8192558,"(120.75, 319.38, 287.91, 154.83)","(26.48, 23.06)"
1733109935.8565693,"(120.75, 319.38, 287.91, 154.79)","(26.48, 23.06)"
1733109935.89406,"(120.75, 319.38, 287.91, 154.66)","(26.599999999999998, 22.94)"
1733109935.9300373,"(120.75, 319.38, 287.91, 154.44)","(26.48, 23.06)"
1733109935.963356,"(120.75, 319.38, 287.91, 154.23)","(26.599999999999998, 22.94)"
1733109936.0003054,"(120.75, 319.38, 287.81, 154.14)","(26.54, 23.14)"
1733109936.036682,"(120.75, 319.38, 287.81, 154.05)","(26.54, 23.14)"
1733109936.0737834,"(120.75, 319.38, 287.7, 153.97)","(26.54, 23.14)"
1733109936.1106896,"(120.75, 319.38, 287.7, 153.88)","(26.54, 23.14)"
1733109936.147601,"(120.75, 319.38, 287.7, 153.79)","(26.54, 23.14)"
1733109936.184514,"(120.78, 319.38, 287.81, 153.62)","(26.560000000000002, 23.14)"
1733109936.2208996,"(120.82, 319.38, 287.91, 153.58)","(26.700000000000003, 23.14)"
1733109936.2584963,"(120.95, 319.38, 288.01, 153.79)","(26.700000000000003, 23.14)"
1733109936.2914348,"(121.24, 319.5, 288.12, 154.23)","(26.700000000000003, 23.14)"
1733109936.327696,"(121.62, 319.74, 288.12, 154.79)","(26.700000000000003, 23.14)"
1733109936.3644605,"(122.01, 319.74, 288.12, 155.4)","(26.700000000000003, 23.14)"
1733109936.401617,"(122.37, 319.86, 288.22, 156.01)","(26.700000000000003, 23.14)"
1733109936.438369,"(122.73, 319.98, 288.32, 156.67)","(26.780000000000005, 23.06)"
1733109936.475513,"(123.06, 320.11, 288.43, 157.68)","(26.780000000000005, 23.06)"
1733109936.5122092,"(123.39, 320.23, 288.53, 158.22)","(26.780000000000005, 23.06)"
1733109936.5493422,"(123.72, 320.35, 288.63, 158.62)","(26.780000000000005, 23.06)"
1733109936.5860364,"(124.02, 320.47, 288.74, 159.65)","(26.780000000000005, 23.06)"
1733109936.622737,"(124.32, 320.59, 288.84, 160.74)","(26.780000000000005, 23.06)"
1733109936.655656,"(124.62, 320.72, 288.95, 161.24)","(26.700000000000003, 23.14)"
1733109936.6926885,"(124.95, 320.84, 289.15, 162.16)","(26.700000000000003, 23.14)"
1733109936.7296295,"(125.25, 320.96, 289.26, 162.44)","(26.86, 23.14)"
1733109936.7659435,"(125.59, 321.08, 289.36, 162.81)","(26.86, 23.14)"
1733109936.802769,"(125.79, 321.2, 289.36, 163.04)","(26.700000000000003, 23.14)"
1733109936.8395722,"(125.82, 321.2, 289.36, 163.08)","(26.86, 23.14)"
1733109936.875964,"(125.76, 321.2, 289.36, 163.04)","(26.72, 23.14)"
1733109936.9132023,"(125.69, 321.2, 289.36, 163.74)","(26.86, 23.14)"
1733109936.9500282,"(125.69, 321.2, 289.47, 164.2)","(26.86, 23.14)"
1733109936.9833865,"(125.69, 321.2, 289.57, 164.16)","(26.86, 23.14)"
1733109937.019672,"(125.72, 321.2, 289.67, 163.88)","(26.86, 23.14)"
1733109937.0567267,"(125.79, 321.2, 289.78, 164.34)","(26.86, 23.14)"
1733109937.0934138,"(125.89, 321.2, 289.88, 165.09)","(26.86, 23.14)"
1733109937.1306534,"(126.06, 321.2, 289.99, 165.0)","(26.86, 23.14)"
1733109937.167317,"(126.23, 321.2, 290.09, 164.81)","(26.86, 23.14)"
1733109937.204666,"(126.4, 321.2, 290.2, 165.24)","(26.86, 23.14)"
1733109937.241483,"(126.57, 321.2, 290.2, 165.09)","(26.86, 23.14)"
1733109937.278271,"(126.77, 321.2, 290.2, 165.8)","(27.0, 23.14)"
1733109937.3104317,"(126.98, 321.2, 290.2, 166.52)","(27.2, 22.94)"
1733109937.3474555,"(127.22, 321.33, 290.3, 167.66)","(27.2, 22.94)"
1733109937.3840036,"(127.46, 321.33, 290.41, 168.63)","(27.2, 22.94)"
1733109937.421595,"(127.66, 321.33, 290.41, 168.97)","(27.2, 22.94)"
1733109937.4578433,"(127.83, 321.33, 290.41, 168.53)","(27.2, 22.94)"
1733109937.4950197,"(127.97, 321.33, 290.3, 168.34)","(27.2, 22.94)"
1733109937.532035,"(128.11, 321.33, 290.2, 169.21)","(27.2, 22.94)"
1733109937.5692718,"(128.21, 321.33, 290.09, 169.41)","(27.2, 22.94)"
1733109937.605863,"(128.28, 321.33, 289.99, 169.45)","(27.2, 22.94)"
1733109937.6425295,"(128.31, 321.33, 289.88, 169.31)","(27.2, 22.94)"
1733109937.6756763,"(128.31, 321.33, 289.78, 169.7)","(27.2, 22.94)"
1733109937.71239,"(128.31, 321.33, 289.67, 169.7)","(27.2, 22.94)"
1733109937.749431,"(128.28, 321.2, 289.57, 169.89)","(27.080000000000002, 23.06)"
1733109937.786336,"(128.21, 321.2, 289.47, 170.09)","(27.24, 23.06)"
1733109937.8227916,"(128.11, 321.2, 289.36, 170.24)","(27.359999999999996, 22.94)"
1733109937.8588398,"(127.97, 321.2, 289.26, 170.24)","(27.499999999999996, 22.94)"
1733109937.8965046,"(127.83, 321.08, 289.15, 169.6)","(27.38, 23.06)"
1733109937.9333196,"(127.7, 321.08, 289.05, 169.06)","(27.299999999999997, 23.14)"
1733109937.9703145,"(127.59, 321.08, 289.05, 169.26)","(27.299999999999997, 23.14)"
1733109938.0030663,"(127.52, 321.08, 289.05, 169.41)","(27.299999999999997, 23.14)"
1733109938.0401058,"(127.46, 321.08, 289.05, 169.5)","(27.299999999999997, 23.14)"
1733109938.0767496,"(127.35, 321.08, 289.05, 169.02)","(27.499999999999996, 22.94)"
1733109938.1132777,"(127.32, 321.08, 289.05, 168.92)","(26.959999999999997, 23.34)"
1733109938.1502635,"(127.25, 321.08, 289.05, 168.73)","(26.959999999999997, 23.34)"
1733109938.1875093,"(127.18, 321.08, 289.05, 168.63)","(27.499999999999996, 22.94)"
1733109938.2241898,"(127.11, 321.08, 289.05, 168.29)","(27.409999999999997, 23.03)"
1733109938.2613614,"(127.05, 321.08, 289.05, 168.34)","(27.499999999999996, 22.94)"
1733109938.2976947,"(127.01, 321.08, 289.05, 168.29)","(27.499999999999996, 22.94)"
1733109938.331025,"(126.98, 321.08, 289.05, 168.29)","(27.499999999999996, 22.94)"
1733109938.3670502,"(126.94, 321.08, 289.05, 168.05)","(27.25, 23.03)"
1733109938.404623,"(126.91, 321.08, 289.05, 167.86)","(27.069999999999997, 23.23)"
1733109938.4415605,"(126.87, 321.08, 289.05, 167.9)","(27.669999999999998, 22.94)"
1733109938.4777915,"(126.84, 320.96, 289.05, 168.15)","(27.05, 23.23)"
1733109938.51498,"(126.81, 320.96, 289.05, 168.34)","(27.499999999999996, 22.94)"
1733109938.5518343,"(126.77, 320.84, 289.05, 168.39)","(27.25, 23.03)"
1733109938.58884,"(126.74, 320.72, 289.05, 168.53)","(27.25, 23.03)"
1733109938.6258917,"(126.74, 320.72, 289.05, 168.58)","(27.069999999999997, 23.23)"
1733109938.6620352,"(126.7, 320.59, 289.05, 168.68)","(27.069999999999997, 23.23)"
1733109938.6953,"(126.7, 320.59, 289.05, 168.73)","(27.209999999999997, 23.23)"
1733109938.7316048,"(126.67, 320.59, 289.05, 168.92)","(27.069999999999997, 23.23)"
1733109938.7688923,"(126.64, 320.47, 289.05, 169.06)","(27.209999999999997, 23.23)"
1733109938.8055923,"(126.6, 320.35, 289.05, 169.26)","(27.209999999999997, 23.23)"
1733109938.84252,"(126.57, 320.47, 289.05, 169.16)","(26.42, 22.65)"
1733109938.8791597,"(126.53, 320.35, 289.05, 168.87)","(24.779999999999998, 21.88)"
1733109938.9166515,"(126.5, 320.23, 289.05, 168.68)","(22.87, 20.02)"
1733109938.952721,"(126.47, 320.11, 289.05, 168.53)","(20.88, 17.95)"
1733109938.9899669,"(126.43, 319.98, 289.05, 168.34)","(19.83, 15.68)"
1733109939.02267,"(126.4, 319.98, 289.05, 168.24)","(18.89, 14.51)"
1733109939.0600731,"(126.37, 319.86, 289.05, 168.0)","(18.77, 13.98)"
1733109939.096334,"(126.33, 319.86, 289.05, 167.95)","(18.95, 13.98)"
1733109939.1333475,"(126.3, 319.86, 289.05, 167.95)","(18.95, 13.98)"
1733109939.170194,"(126.26, 319.74, 289.05, 167.71)","(18.95, 13.98)"
1733109939.2065682,"(126.23, 319.74, 289.05, 167.66)","(18.300000000000004, 14.04)"
1733109939.2439637,"(126.2, 319.62, 289.05, 167.62)","(18.009999999999998, 14.04)"
1733109939.280875,"(126.2, 319.5, 289.05, 167.38)","(17.61, 14.04)"
1733109939.317788,"(126.2, 319.5, 289.05, 167.09)","(16.78, 14.04)"
1733109939.3544886,"(126.2, 319.5, 288.95, 166.75)","(16.580000000000002, 13.77)"
1733109939.3867962,"(126.2, 319.38, 288.95, 166.8)","(16.0, 13.51)"
1733109939.424494,"(126.2, 319.38, 288.95, 166.94)","(15.739999999999998, 13.09)"
1733109939.4607668,"(126.2, 319.38, 288.95, 167.33)","(14.81, 12.99)"
1733109939.498366,"(126.2, 319.38, 288.95, 167.62)","(14.91, 12.79)"
1733109939.5342414,"(126.2, 319.38, 288.95, 167.81)","(14.720000000000002, 12.79)"
1733109939.572073,"(126.2, 319.38, 288.84, 167.71)","(14.620000000000001, 12.79)"
1733109939.6088758,"(126.2, 319.38, 288.84, 167.76)","(14.790000000000001, 12.62)"
1733109939.6453135,"(126.16, 319.38, 288.74, 167.81)","(13.799999999999999, 12.67)"
1733109939.6820853,"(126.16, 319.38, 288.63, 167.57)","(14.319999999999999, 12.15)"
1733109939.7148108,"(126.16, 319.38, 288.63, 167.81)","(13.600000000000001, 12.11)"
1733109939.7523637,"(126.16, 319.38, 288.63, 168.0)","(13.31, 11.94)"
1733109939.7890017,"(126.16, 319.38, 288.53, 168.29)","(12.940000000000001, 11.73)"
1733109939.8258066,"(126.16, 319.38, 288.53, 168.58)","(12.5, 11.23)"
1733109939.8621569,"(126.16, 319.38, 288.53, 168.82)","(11.940000000000001, 10.84)"
1733109939.8995428,"(126.16, 319.5, 288.63, 169.02)","(11.81, 10.42)"
1733109939.936501,"(126.16, 319.62, 288.63, 169.06)","(11.4, 10.17)"
1733109939.973029,"(126.16, 319.74, 288.63, 169.26)","(11.149999999999999, 9.75)"
1733109940.0093384,"(126.16, 319.98, 288.74, 169.21)","(10.649999999999999, 9.46)"
1733109940.0425882,"(126.2, 320.23, 288.84, 169.21)","(10.750000000000002, 8.62)"
1733109940.0799117,"(126.26, 320.47, 288.95, 169.21)","(10.45, 7.98)"
1733109940.1164615,"(126.3, 320.71, 289.15, 169.36)","(10.790000000000003, 7.31)"
1733109940.152989,"(126.33, 320.96, 289.36, 169.5)","(10.799999999999999, 7.1)"
1733109940.1899858,"(126.4, 321.2, 289.57, 169.5)","(11.270000000000001, 7.1)"
1733109940.2267878,"(126.43, 321.45, 289.78, 169.75)","(11.57, 7.07)"
1733109940.2637067,"(126.47, 321.69, 289.88, 169.8)","(11.84, 7.07)"
1733109940.300568,"(126.47, 321.94, 289.99, 169.84)","(12.11, 7.07)"
1733109940.337573,"(126.47, 322.18, 290.2, 169.84)","(12.309999999999999, 7.07)"
1733109940.3747206,"(126.47, 322.43, 290.3, 169.8)","(12.600000000000001, 6.91)"
1733109940.4069788,"(126.5, 322.68, 290.41, 169.75)","(12.57, 6.94)"
1733109940.4445148,"(126.5, 322.8, 290.51, 169.7)","(12.919999999999998, 6.94)"
1733109940.4809165,"(126.5, 322.92, 290.62, 169.6)","(13.04, 6.94)"
1733109940.518111,"(126.53, 323.17, 290.93, 169.55)","(13.04, 6.94)"
1733109940.5546684,"(126.57, 323.29, 291.14, 169.5)","(13.32, 6.94)"
1733109940.591155,"(126.53, 323.42, 291.35, 169.36)","(13.32, 6.94)"
1733109940.628618,"(126.47, 323.54, 291.56, 169.11)","(13.7, 6.91)"
1733109940.6657517,"(126.47, 323.67, 291.77, 169.02)","(13.709999999999999, 7.1)"
1733109940.7022178,"(126.43, 323.79, 291.88, 168.97)","(13.899999999999999, 6.91)"
1733109940.735235,"(126.4, 323.79, 292.09, 168.97)","(14.100000000000001, 6.91)"
1733109940.7720842,"(126.37, 323.79, 292.3, 168.82)","(14.100000000000001, 6.91)"
1733109940.808646,"(126.33, 323.79, 292.51, 168.58)","(13.8, 7.13)"
1733109940.845499,"(126.33, 323.79, 292.62, 168.48)","(13.83, 7.1)"
1733109940.8825097,"(126.33, 323.79, 292.72, 168.34)","(14.03, 7.1)"
1733109940.918707,"(126.33, 323.79, 292.83, 168.15)","(14.2, 7.13)"
1733109940.956015,"(126.3, 323.79, 292.94, 168.15)","(14.27, 6.94)"
1733109940.9932303,"(126.3, 323.79, 293.04, 168.58)","(14.080000000000002, 7.13)"
1733109941.0292406,"(126.26, 323.79, 293.15, 168.77)","(14.27, 6.94)"
1733109941.063038,"(126.2, 323.67, 293.04, 168.77)","(14.27, 6.94)"
1733109941.0992734,"(126.16, 323.54, 292.94, 168.77)","(14.54, 6.94)"
1733109941.136006,"(126.13, 323.42, 292.83, 168.82)","(14.469999999999999, 6.94)"
1733109941.173476,"(126.09, 323.29, 292.72, 168.77)","(14.66, 6.94)"
1733109941.210177,"(126.03, 323.17, 292.62, 168.63)","(14.739999999999998, 6.94)"
1733109941.2468674,"(125.99, 323.05, 292.51, 168.58)","(14.61, 7.07)"
1733109941.2837331,"(125.96, 323.05, 292.41, 168.68)","(14.61, 7.07)"
1733109941.3204007,"(125.93, 323.05, 292.3, 168.82)","(14.690000000000001, 7.07)"
1733109941.3571298,"(125.89, 323.05, 292.19, 168.92)","(14.690000000000001, 7.07)"
1733109941.3946643,"(125.86, 323.05, 292.19, 168.92)","(14.690000000000001, 7.07)"
1733109941.4266322,"(125.82, 323.05, 292.19, 168.92)","(14.89, 7.07)"
1733109941.4638495,"(125.79, 323.05, 292.19, 169.02)","(14.690000000000001, 7.07)"
1733109941.5008397,"(125.76, 323.05, 292.19, 169.02)","(14.89, 7.07)"
1733109941.5377562,"(125.72, 323.05, 292.19, 168.58)","(14.860000000000001, 7.1)"
1733109941.574251,"(125.72, 323.05, 292.19, 168.34)","(15.07, 6.89)"
1733109941.6115165,"(125.72, 323.05, 292.19, 168.15)","(15.07, 6.89)"
1733109941.6480389,"(125.69, 323.05, 292.19, 167.95)","(15.07, 6.89)"
1733109941.6845243,"(125.69, 323.05, 292.19, 167.81)","(15.189999999999998, 6.89)"
1733109941.721913,"(125.69, 323.05, 292.09, 167.9)","(15.169999999999998, 6.91)"
1733109941.7551355,"(125.69, 322.92, 292.09, 167.86)","(15.25, 6.91)"
1733109941.7916632,"(125.69, 322.8, 292.09, 167.66)","(15.27, 6.89)"
1733109941.8287272,"(125.69, 322.8, 292.09, 167.38)","(15.370000000000001, 6.91)"
1733109941.8650148,"(125.69, 322.8, 292.09, 167.09)","(15.370000000000001, 6.91)"
1733109941.9023583,"(125.69, 322.8, 292.09, 166.99)","(15.27, 6.89)"
1733109941.9385543,"(125.69, 322.8, 292.09, 166.85)","(15.27, 6.89)"
1733109941.9753582,"(125.69, 322.8, 292.09, 166.71)","(15.25, 6.91)"
1733109942.0125878,"(125.69, 322.8, 292.09, 166.61)","(15.030000000000001, 6.89)"
1733109942.0496185,"(125.69, 322.8, 292.09, 166.33)","(15.46, 6.7)"
1733109942.0861683,"(125.69, 322.8, 292.09, 166.13)","(15.469999999999999, 6.89)"
1733109942.1196427,"(125.69, 322.8, 292.09, 165.95)","(15.25, 6.91)"
1733109942.1559885,"(125.69, 322.8, 292.09, 165.99)","(15.419999999999998, 6.94)"
1733109942.193433,"(125.69, 322.68, 292.09, 165.9)","(15.219999999999999, 6.94)"
1733109942.2300932,"(125.69, 322.68, 292.09, 165.71)","(15.219999999999999, 6.94)"
1733109942.267084,"(125.69, 322.68, 292.19, 165.61)","(15.5, 6.94)"
1733109942.3038783,"(125.69, 322.68, 292.19, 165.57)","(15.5, 6.94)"
1733109942.340736,"(125.69, 322.8, 292.19, 165.52)","(15.5, 6.94)"
1733109942.3775015,"(125.66, 322.8, 292.19, 165.47)","(15.219999999999999, 6.94)"
1733109942.4137163,"(125.62, 322.68, 292.19, 165.47)","(15.219999999999999, 6.94)"
1733109942.446504,"(125.59, 322.68, 292.19, 165.52)","(15.5, 6.94)"
1733109942.4835627,"(125.55, 322.68, 292.19, 165.57)","(15.419999999999998, 6.94)"
1733109942.5209706,"(125.52, 322.68, 292.09, 165.66)","(15.419999999999998, 6.94)"
1733109942.557482,"(125.49, 322.68, 292.09, 165.71)","(15.740000000000002, 6.7)"
1733109942.594046,"(125.45, 322.68, 292.09, 165.9)","(15.419999999999998, 6.94)"
1733109942.631455,"(125.42, 322.68, 292.09, 166.04)","(15.64, 6.72)"
1733109942.668251,"(125.39, 322.68, 291.98, 166.23)","(15.419999999999998, 6.94)"
1733109942.7049348,"(125.35, 322.55, 291.98, 166.28)","(15.419999999999998, 6.94)"
1733109942.7421558,"(125.32, 322.55, 291.98, 166.52)","(15.5, 6.94)"
1733109942.774678,"(125.32, 322.43, 291.98, 166.8)","(15.61, 6.94)"
1733109942.811008,"(125.29, 322.31, 291.98, 166.99)","(15.720000000000002, 6.72)"
1733109942.8479228,"(125.25, 322.31, 291.98, 167.18)","(15.720000000000002, 6.72)"
1733109942.885302,"(125.22, 322.31, 291.88, 167.33)","(14.350000000000001, 7.13)"
1733109942.918403,"(125.22, 322.31, 291.88, 167.47)","(13.239999999999998, 6.94)"
