Time(s),Res(O),Angles(deg)
1733109905.646274,"(121.72, 323.05, 292.19, 154.14)","(9.110000000000003, 28.73)"
1733109905.678886,"(121.72, 323.05, 292.19, 154.18)","(9.110000000000003, 28.73)"
1733109905.7158673,"(121.72, 323.05, 292.19, 154.18)","(9.110000000000003, 28.73)"
1733109905.7522812,"(121.72, 323.05, 292.19, 154.14)","(9.110000000000003, 28.73)"
1733109905.785626,"(121.72, 323.05, 292.19, 154.18)","(9.110000000000003, 28.73)"
1733109905.8231013,"(121.72, 323.05, 292.19, 154.18)","(9.110000000000003, 28.73)"
1733109905.859941,"(121.72, 323.05, 292.19, 154.22)","(9.400000000000002, 28.73)"
1733109905.8920803,"(121.72, 323.05, 292.19, 154.22)","(9.400000000000002, 28.73)"
1733109905.929347,"(121.72, 323.05, 292.19, 154.31)","(9.400000000000002, 28.73)"
1733109905.962141,"(121.69, 323.05, 292.19, 154.27)","(9.05, 28.95)"
1733109905.9988515,"(121.69, 323.05, 292.19, 154.27)","(9.05, 28.95)"
1733109906.0354662,"(121.69, 323.05, 292.19, 154.31)","(9.05, 28.95)"
1733109906.0688756,"(121.69, 323.05, 292.19, 154.35)","(9.05, 28.95)"
1733109906.1056268,"(121.69, 323.05, 292.19, 154.27)","(9.05, 28.95)"
1733109906.1421285,"(121.69, 323.05, 292.19, 154.22)","(9.05, 28.95)"
1733109906.1751275,"(121.66, 323.05, 292.19, 153.71)","(9.05, 28.95)"
1733109906.2118468,"(121.63, 323.05, 292.19, 153.19)","(9.05, 28.95)"
1733109906.2485292,"(121.59, 323.05, 292.19, 152.72)","(9.05, 28.95)"
1733109906.2818017,"(121.59, 323.05, 292.19, 152.25)","(9.05, 28.95)"
1733109906.317875,"(121.56, 323.05, 292.19, 151.96)","(9.05, 28.95)"
1733109906.3514714,"(121.53, 323.05, 292.19, 151.66)","(9.05, 28.95)"
1733109906.3874364,"(121.5, 322.93, 292.19, 151.32)","(9.05, 28.95)"
1733109906.4243927,"(121.46, 322.93, 292.19, 151.03)","(9.05, 28.95)"
1733109906.4572997,"(121.43, 322.8, 292.19, 150.69)","(9.05, 28.95)"
1733109906.494068,"(121.43, 322.8, 292.19, 150.44)","(9.05, 28.95)"
1733109906.5315857,"(121.4, 322.8, 292.19, 150.15)","(9.05, 28.95)"
1733109906.5640376,"(121.37, 322.8, 292.19, 149.86)","(9.05, 28.95)"
1733109906.6013114,"(121.33, 322.8, 292.19, 149.57)","(9.220000000000002, 28.95)"
1733109906.6379435,"(121.3, 322.8, 292.19, 149.4)","(9.180000000000003, 28.95)"
1733109906.670358,"(121.27, 322.8, 292.19, 149.19)","(9.180000000000003, 28.95)"
1733109906.707518,"(121.27, 322.8, 292.19, 149.4)","(9.180000000000003, 28.95)"
1733109906.7396188,"(121.27, 322.8, 292.19, 149.61)","(9.180000000000003, 28.95)"
1733109906.7774117,"(121.27, 322.8, 292.19, 149.77)","(9.180000000000003, 28.95)"
1733109906.8134427,"(121.24, 322.8, 292.19, 149.94)","(9.220000000000002, 28.95)"
1733109906.8462386,"(121.24, 322.8, 292.19, 149.94)","(9.220000000000002, 28.95)"
1733109906.8839338,"(121.24, 322.8, 292.19, 149.98)","(9.349999999999998, 28.95)"
1733109906.9206796,"(121.24, 322.93, 292.19, 150.02)","(9.349999999999998, 28.95)"
1733109906.95304,"(121.24, 322.93, 292.19, 150.07)","(9.349999999999998, 28.95)"
1733109906.9901104,"(121.24, 323.05, 292.19, 150.11)","(9.349999999999998, 28.95)"
1733109907.0263238,"(121.24, 322.93, 292.19, 150.15)","(9.349999999999998, 28.95)"
1733109907.0593514,"(121.24, 322.93, 292.19, 150.19)","(9.220000000000002, 28.95)"
1733109907.0963564,"(121.24, 322.93, 292.19, 150.23)","(9.510000000000002, 28.95)"
1733109907.133499,"(121.24, 322.93, 292.19, 150.32)","(9.510000000000002, 28.95)"
1733109907.1665328,"(121.24, 322.93, 292.19, 150.36)","(9.349999999999998, 28.95)"
1733109907.2031772,"(121.24, 322.93, 292.19, 150.4)","(9.349999999999998, 28.95)"
1733109907.2359643,"(121.24, 322.93, 292.19, 150.44)","(9.220000000000002, 28.95)"
1733109907.2720597,"(121.24, 322.93, 292.19, 150.53)","(9.220000000000002, 28.95)"
1733109907.3089554,"(121.24, 322.93, 292.19, 150.61)","(9.220000000000002, 28.95)"
1733109907.3427467,"(121.24, 322.8, 292.19, 150.69)","(9.220000000000002, 28.95)"
1733109907.3789322,"(121.24, 322.68, 292.19, 150.74)","(9.220000000000002, 28.95)"
1733109907.415797,"(121.24, 322.68, 292.19, 150.82)","(9.220000000000002, 28.95)"
1733109907.4488678,"(121.24, 322.68, 292.19, 150.9)","(9.220000000000002, 28.95)"
1733109907.4853745,"(121.24, 322.68, 292.19, 150.99)","(9.220000000000002, 28.95)"
1733109907.522773,"(121.24, 322.68, 292.19, 151.11)","(9.220000000000002, 28.95)"
1733109907.5554593,"(121.24, 322.8, 292.19, 151.28)","(9.220000000000002, 28.95)"
1733109907.5919652,"(121.24, 322.68, 292.19, 151.58)","(9.220000000000002, 28.95)"
1733109907.6244676,"(121.24, 322.68, 292.19, 151.83)","(9.510000000000002, 28.95)"
1733109907.6615503,"(121.24, 322.68, 292.19, 152.0)","(9.510000000000002, 28.95)"
1733109907.6980066,"(121.24, 322.56, 292.19, 152.25)","(9.510000000000002, 28.95)"
1733109907.731717,"(121.24, 322.56, 292.19, 152.47)","(9.510000000000002, 28.95)"
1733109907.7679276,"(121.24, 322.56, 292.19, 152.68)","(9.510000000000002, 28.95)"
1733109907.8053172,"(121.24, 322.56, 292.19, 152.85)","(9.510000000000002, 28.95)"
1733109907.838018,"(121.24, 322.56, 292.19, 152.89)","(9.510000000000002, 28.95)"
1733109907.8742602,"(121.24, 322.68, 292.19, 153.06)","(9.510000000000002, 28.95)"
1733109907.9113717,"(121.24, 322.68, 292.19, 153.24)","(9.620000000000001, 28.84)"
1733109907.944373,"(121.24, 322.68, 292.19, 153.36)","(9.510000000000002, 28.95)"
1733109907.9808762,"(121.24, 322.68, 292.19, 153.49)","(9.510000000000002, 28.95)"
1733109908.0141072,"(121.24, 322.68, 292.19, 153.58)","(9.510000000000002, 28.95)"
1733109908.0512314,"(121.24, 322.68, 292.19, 153.62)","(9.450000000000003, 29.14)"
1733109908.0872307,"(121.24, 322.68, 292.19, 153.67)","(9.450000000000003, 29.14)"
1733109908.1207106,"(121.24, 322.8, 292.19, 153.58)","(9.450000000000003, 29.14)"
1733109908.157047,"(121.24, 322.8, 292.19, 153.54)","(9.450000000000003, 29.14)"
1733109908.1945677,"(121.24, 322.8, 292.19, 153.49)","(9.450000000000003, 29.14)"
1733109908.2269127,"(121.24, 322.8, 292.19, 153.41)","(9.450000000000003, 29.14)"
1733109908.2639122,"(121.24, 322.8, 292.19, 153.36)","(9.450000000000003, 29.14)"
1733109908.3009937,"(121.24, 322.8, 292.19, 153.32)","(9.450000000000003, 29.14)"
1733109908.3333156,"(121.24, 322.8, 292.19, 153.28)","(9.450000000000003, 29.14)"
1733109908.369845,"(121.24, 322.68, 292.19, 153.36)","(9.450000000000003, 29.14)"
1733109908.4068644,"(121.24, 322.68, 292.19, 153.32)","(9.450000000000003, 29.14)"
1733109908.439566,"(121.24, 322.8, 292.19, 153.28)","(9.450000000000003, 29.14)"
1733109908.4772558,"(121.24, 322.8, 292.19, 153.24)","(9.450000000000003, 29.14)"
1733109908.5091743,"(121.24, 322.8, 292.19, 153.19)","(9.509999999999998, 29.25)"
1733109908.546582,"(121.24, 322.8, 292.19, 153.19)","(9.509999999999998, 29.25)"
1733109908.5833528,"(121.24, 322.8, 292.19, 153.19)","(9.509999999999998, 29.25)"
1733109908.6158638,"(121.24, 322.8, 292.19, 153.11)","(9.509999999999998, 29.25)"
1733109908.6528883,"(121.24, 322.8, 292.19, 153.02)","(9.509999999999998, 29.25)"
1733109908.689194,"(121.24, 322.8, 292.19, 152.81)","(9.509999999999998, 29.25)"
1733109908.7226243,"(121.24, 322.8, 292.19, 152.64)","(9.509999999999998, 29.25)"
1733109908.7599244,"(121.24, 322.8, 292.19, 152.47)","(9.509999999999998, 29.25)"
1733109908.7962463,"(121.2, 322.8, 292.19, 152.3)","(9.509999999999998, 29.25)"
1733109908.8288035,"(121.2, 322.8, 292.19, 152.17)","(9.509999999999998, 29.25)"
1733109908.866347,"(121.2, 322.8, 292.19, 152.04)","(9.509999999999998, 29.25)"
1733109908.898648,"(121.27, 322.93, 292.3, 151.96)","(9.509999999999998, 29.25)"
1733109908.9354372,"(121.43, 322.93, 292.41, 152.04)","(9.509999999999998, 29.25)"
1733109908.9720595,"(121.66, 322.93, 292.51, 152.25)","(9.619999999999997, 29.14)"
1733109909.0051692,"(121.95, 322.93, 292.51, 152.55)","(9.060000000000002, 28.65)"
1733109909.041674,"(122.28, 322.93, 292.62, 152.72)","(7.77, 27.84)"
1733109909.0783126,"(122.57, 322.93, 292.72, 153.02)","(6.979999999999997, 26.07)"
1733109909.111417,"(122.86, 322.93, 292.72, 153.32)","(4.899999999999999, 24.01)"
1733109909.1483674,"(123.13, 322.93, 292.72, 153.67)","(3.1400000000000006, 21.84)"
1733109909.1853728,"(123.39, 322.8, 292.72, 154.01)","(2.780000000000001, 19.68)"
1733109909.2183335,"(123.62, 322.8, 292.72, 154.48)","(2.5799999999999983, 18.64)"
1733109909.255268,"(123.85, 322.8, 292.72, 154.96)","(2.5199999999999996, 18.43)"
1733109909.2920296,"(124.09, 322.93, 292.72, 155.4)","(2.1099999999999994, 18.64)"
1733109909.3248675,"(124.35, 322.93, 292.72, 155.88)","(2.3099999999999987, 18.64)"
1733109909.3616552,"(124.58, 322.93, 292.72, 156.32)","(2.5199999999999996, 18.43)"
1733109909.394173,"(124.82, 322.93, 292.72, 156.76)","(2.5199999999999996, 18.43)"
1733109909.4314067,"(124.95, 322.93, 292.62, 157.15)","(2.3099999999999987, 18.64)"
1733109909.4681077,"(124.99, 322.8, 292.51, 157.37)","(2.5199999999999996, 18.43)"
1733109909.500945,"(124.95, 322.68, 292.41, 157.46)","(2.5199999999999996, 18.43)"
1733109909.537802,"(124.85, 322.68, 292.41, 157.51)","(2.5199999999999996, 18.43)"
1733109909.5746236,"(124.72, 322.68, 292.3, 157.73)","(2.3099999999999987, 18.64)"
1733109909.607474,"(124.62, 322.56, 292.19, 157.82)","(2.3099999999999987, 18.64)"
1733109909.6437645,"(124.52, 322.43, 292.19, 157.91)","(2.3099999999999987, 18.64)"
1733109909.6811156,"(124.45, 322.31, 292.19, 158.0)","(2.3099999999999987, 18.64)"
1733109909.7134223,"(124.38, 322.31, 292.19, 158.04)","(2.3099999999999987, 18.64)"
1733109909.7509356,"(124.35, 322.31, 292.19, 158.08)","(2.3099999999999987, 18.64)"
1733109909.783447,"(124.28, 322.19, 292.19, 158.13)","(2.3099999999999987, 18.64)"
1733109909.820475,"(124.22, 322.06, 292.19, 158.13)","(2.3099999999999987, 18.64)"
1733109909.8574667,"(124.15, 321.94, 292.19, 158.17)","(2.3099999999999987, 18.64)"
1733109909.88936,"(124.09, 321.82, 292.19, 158.17)","(2.16, 18.71)"
1733109909.9263518,"(124.02, 321.7, 292.19, 158.08)","(2.16, 18.71)"
1733109909.9631288,"(123.99, 321.57, 292.19, 158.0)","(2.16, 18.71)"
1733109909.9965026,"(123.95, 321.57, 292.19, 158.0)","(2.16, 18.71)"
1733109910.0335798,"(123.92, 321.7, 292.19, 157.95)","(2.16, 18.71)"
1733109910.0696468,"(123.89, 321.57, 292.19, 157.86)","(2.16, 18.71)"
1733109910.1029663,"(123.85, 321.45, 292.19, 157.73)","(2.16, 18.71)"
1733109910.1399865,"(123.82, 321.45, 292.19, 157.6)","(2.16, 18.71)"
1733109910.1765509,"(123.79, 321.45, 292.19, 157.46)","(2.16, 18.71)"
