Time(s),Angle1(deg),Angle2(deg)
22.89,50.51,
22.92,50.51,
22.93,50.51,
22.96,50.51,
22.98,50.51,
23.0,50.51,
23.03,50.51,
23.04,50.51,
23.06,50.51,
23.07,50.51,
23.11,50.51,
23.12,50.51,
23.14,50.51,
23.17,50.51,
23.18,50.51,
23.21,50.51,
23.23,50.51,
23.26,50.51,
23.28,50.51,
23.29,50.51,
23.31,50.58,
23.34,50.58,
23.36,50.58,
23.39,50.58,
23.4,50.58,
23.43,50.58,
23.45,50.58,
23.48,50.58,
23.5,50.58,
23.51,50.58,
23.54,50.51,
23.56,50.58,
23.59,50.58,
23.61,50.51,
23.62,50.51,
23.65,50.51,
23.67,50.51,
23.69,50.51,
23.72,50.51,
23.73,50.51,
23.75,50.51,
23.78,50.51,
23.79,50.42,
23.81,50.42,
23.84,50.42,
23.86,50.42,
23.87,50.42,
23.91,50.42,
23.92,50.42,
23.94,50.42,
23.97,51.13,
23.98,52.49,
24.02,54.85,
24.03,58.19,
24.05,61.83,
24.06,65.03,
24.09,67.3,
24.11,68.3,
24.13,68.54,
24.16,68.44,
24.17,68.58,
24.19,69.05,
24.22,69.67,
24.24,70.58,
24.25,71.87,
24.28,73.72,
24.3,75.29,
24.31,76.5,
24.35,76.5,
24.36,76.27,
24.38,75.94,
24.39,75.6,
24.41,75.14,
24.44,74.49,
24.47,73.92,
24.49,73.28,
24.52,72.71,
24.53,72.37,
24.56,72.04,
24.58,71.6,
24.6,71.36,
24.63,70.89,
24.64,70.55,
24.68,70.22,
24.71,69.88,
24.72,69.51,
24.74,69.17,
24.77,68.79,
24.78,68.56,
24.8,68.36,
24.83,68.12,
24.85,68.02,
24.87,67.88,
24.88,67.64,
24.89,67.54,
24.93,67.21,
24.94,67.07,
24.96,66.83,
24.99,66.69,
25.0,66.59,
25.04,66.49,
25.05,66.35,
25.07,66.21,
25.08,66.11,
25.1,65.97,
25.11,65.87,
25.15,65.59,
25.16,65.64,
25.19,65.64,
25.21,65.49,
25.24,65.4,
25.26,65.4,
25.27,65.4,
25.29,65.4,
25.32,65.25,
25.33,65.25,
25.35,65.25,
25.37,65.16,
25.38,65.16,
25.41,65.16,
25.43,65.02,
25.46,64.92,
25.48,64.92,
25.51,64.92,
25.52,64.92,
25.54,64.92,
25.57,64.92,
25.59,64.96,
25.62,64.96,
25.63,64.96,
25.66,64.82,
25.68,64.92,
25.7,64.82,
25.73,64.68,
25.74,64.58,
25.76,64.58,
25.77,64.54,
25.81,64.39,
25.82,64.44,
25.85,64.3,
25.85,64.3,
25.88,64.3,
25.9,64.25,
25.93,64.25,
25.95,64.25,
25.96,64.15,
25.98,64.15,
26.01,64.15,
26.03,64.15,
26.04,64.15,
26.06,64.15,
26.07,64.2,
26.1,64.15,
26.12,64.15,
26.14,64.15,
26.15,64.15,
26.17,64.15,
26.18,64.15,
26.2,64.06,
26.23,64.06,
26.25,64.01,
26.28,64.06,
26.29,64.15,
26.31,64.82,
26.34,65.54,
26.36,66.59,
26.37,67.78,
26.39,68.97,
26.4,70.08,
26.43,70.89,
26.45,71.7,
26.48,72.27,
26.5,72.51,
26.51,72.84,
26.53,73.38,
26.56,73.95,
26.58,74.73,
26.59,75.63,
26.62,76.5,
26.64,77.38,
26.66,78.13,
26.69,78.77,
26.7,79.44,
26.72,80.19,
26.75,81.37,
26.77,82.56,
26.8,83.73,
26.81,84.58,
26.83,85.0,
26.86,85.22,
26.88,85.22,
26.89,85.22,
26.92,85.22,
26.94,85.22,
26.95,85.22,
26.99,85.22,
27.0,85.22,
27.02,85.22,
27.03,85.22,
27.05,85.22,
27.08,85.22,
27.09,85.22,
27.11,85.22,
27.14,85.22,
27.16,85.22,
27.17,85.22,
27.21,85.22,
27.22,85.22,
27.24,85.22,
27.27,85.22,
27.28,85.22,
27.32,85.22,
27.33,85.22,
27.35,85.22,
27.36,85.22,
27.39,85.22,
27.41,85.22,
27.42,85.22,
27.46,85.22,
27.47,85.22,
27.5,85.22,
27.52,85.22,
27.55,85.11,
27.57,85.22,
27.58,85.22,
27.61,85.22,
27.63,85.22,
27.66,85.22,
27.68,85.22,
27.69,85.22,
27.72,85.22,
27.74,85.22,
27.77,85.22,
27.79,85.22,
27.8,85.22,
27.83,85.22,
27.85,85.22,
27.88,85.22,
27.9,85.22,
27.91,85.11,
27.93,85.22,
27.96,85.22,
27.98,85.22,
28.01,85.22,
28.02,85.22,
28.04,85.22,
28.06,85.22,
28.07,85.21,
28.08,85.22,
28.11,85.21,
28.13,85.22,
28.15,85.22,
28.16,85.22,
28.19,85.22,
28.21,85.22,
28.23,85.22,
28.24,85.22,
28.28,85.22,
28.29,85.22,
28.32,85.22,
28.34,85.22,
28.35,85.22,
28.38,85.22,
28.4,85.22,
28.43,85.22,
28.45,85.22,
28.46,85.22,
28.49,85.22,
28.51,85.22,
28.52,85.22,
28.56,85.22,
28.57,85.22,
28.6,85.22,
28.62,85.22,
28.65,85.22,
28.67,85.22,
28.7,85.22,
28.73,85.22,
28.74,85.22,
28.76,85.22,
28.79,85.22,
28.81,85.22,
28.82,85.22,
28.85,85.22,
28.87,85.22,
28.89,85.22,
28.9,85.22,
28.93,85.11,
28.96,85.22,
28.98,85.22,
29.0,85.22,
29.01,85.22,
29.04,85.22,
29.07,85.22,
29.08,85.22,
29.11,85.22,
29.13,85.22,
29.15,85.22,
29.15,85.22,
29.18,85.22,
29.2,85.22,
29.22,85.22,
29.23,85.22,
29.25,85.22,
29.27,85.22,
29.28,85.22,
29.3,85.22,
29.31,85.11,
29.33,85.22,
29.36,85.22,
29.38,85.22,
29.41,85.22,
29.42,85.22,
29.45,85.22,
29.47,85.22,
29.5,85.22,
29.52,85.22,
29.53,85.22,
29.56,85.22,
29.58,85.22,
29.61,85.22,
29.63,85.22,
29.64,85.22,
29.67,85.22,
29.69,85.22,
29.72,85.22,
29.74,85.22,
29.77,85.11,
29.79,85.22,
29.8,85.11,
29.83,85.22,
29.86,85.11,
29.88,85.11,
29.9,85.11,
29.91,85.22,
29.93,85.22,
29.96,85.22,
29.98,85.11,
30.01,85.22,
30.02,85.22,
30.04,85.11,
30.05,85.22,
30.09,85.22,
30.1,85.22,
30.12,85.21,
30.13,85.22,
30.16,85.11,
30.18,85.22,
30.2,85.22,
30.23,85.22,
30.26,85.21,
30.27,85.22,
30.29,85.22,
30.31,85.11,
30.32,85.22,
30.34,85.22,
30.35,85.22,
30.39,85.22,
30.4,85.22,
30.43,85.22,
30.45,85.22,
30.47,85.22,
30.5,85.22,
30.51,85.22,
30.53,85.11,
30.56,85.11,
30.57,85.22,
30.61,85.22,
30.63,85.22,
30.65,85.22,
30.67,85.22,
30.7,85.22,
30.72,85.22,
30.73,85.22,
30.76,85.22,
30.78,85.22,
30.81,85.11,
30.82,85.22,
30.84,85.22,
30.87,85.22,
30.9,85.22,
30.92,85.22,
30.93,85.11,
30.97,85.22,
30.98,85.22,
31.01,85.22,
31.03,85.22,
31.04,85.22,
31.06,85.22,
31.09,85.22,
31.11,85.22,
31.12,85.22,
31.15,85.22,
31.18,85.22,
31.2,85.22,
31.2,85.22,
31.23,85.22,
31.25,85.22,
31.27,85.22,
31.28,85.22,
31.3,85.22,
31.33,85.22,
31.34,85.22,
31.37,85.22,
31.39,85.11,
31.41,85.11,
31.44,85.11,
31.47,85.11,
31.48,85.11,
31.51,85.11,
31.53,85.11,
31.56,85.22,
31.58,85.22,
31.6,85.11,
31.62,85.11,
31.66,85.11,
