R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
123.49,321.21,292.19,155.88,69.13,71.15
123.46,321.21,292.19,155.79,69.13,71.15
123.42,321.21,292.19,155.7,69.05,71.36
123.39,321.21,292.19,155.61,69.05,71.36
123.36,321.21,292.19,155.53,69.05,71.36
123.32,321.21,292.19,155.57,69.05,71.36
123.29,321.21,292.19,155.57,69.05,71.36
123.26,321.21,292.19,155.57,69.05,71.36
123.23,321.21,292.19,155.53,69.05,71.36
123.23,321.21,292.19,155.48,69.05,71.36
123.19,321.21,292.19,155.48,69.05,71.36
123.19,321.21,292.19,155.57,69.05,71.36
123.19,321.21,292.19,155.66,69.05,71.36
123.19,321.21,292.09,155.7,69.05,71.36
123.19,321.21,292.09,155.7,69.05,71.36
123.19,321.21,291.98,155.7,69.05,71.36
123.19,321.21,291.98,155.75,69.05,71.36
123.19,321.21,291.98,155.79,69.05,71.36
123.19,321.21,291.98,155.83,69.05,71.36
123.19,321.21,291.98,155.88,69.05,71.36
123.19,321.21,291.98,155.92,69.05,71.36
123.19,321.21,291.88,156.01,69.05,71.36
123.19,321.21,291.88,156.05,69.05,71.36
123.19,321.21,291.88,156.18,69.05,71.36
123.19,321.21,291.88,156.27,69.05,71.36
123.16,321.21,291.88,156.4,69.05,71.36
123.16,321.21,291.88,156.54,69.05,71.36
123.16,321.21,291.88,156.67,69.05,71.36
123.16,321.21,291.98,156.76,69.05,71.36
123.13,321.21,291.98,156.84,69.05,71.36
123.13,321.21,292.09,156.93,69.05,71.36
123.13,321.21,292.09,157.02,69.05,71.36
123.13,321.21,292.09,157.06,69.05,71.36
123.13,321.21,292.09,157.15,69.05,71.36
123.13,321.21,292.09,157.24,69.05,71.36
123.09,321.21,292.09,157.29,69.05,71.36
123.09,321.21,292.09,157.29,69.05,71.36
123.09,321.21,292.09,157.29,69.05,71.36
123.09,321.21,291.98,157.29,69.05,71.36
123.13,321.21,291.88,157.37,69.05,71.36
123.19,321.21,291.88,157.42,69.05,71.36
123.23,321.21,291.88,157.46,69.05,71.36
123.26,321.21,291.88,157.51,69.05,71.36
123.32,321.21,291.88,157.6,69.05,71.36
123.42,321.21,291.88,157.68,69.05,71.36
123.49,321.21,291.88,157.82,69.05,71.36
123.56,321.33,291.88,157.91,69.05,71.36
123.65,321.33,291.88,158.04,69.25,71.36
123.79,321.33,291.88,158.17,69.52,71.57
123.92,321.33,291.88,158.31,69.71,71.84
124.09,321.33,291.88,158.49,69.91,72.05
124.25,321.33,291.98,158.67,70.64,72.05
124.42,321.45,291.98,158.8,70.84,72.32
124.62,321.57,292.09,158.89,71.23,72.53
124.78,321.7,292.19,158.98,71.5,72.8
124.98,321.82,292.19,159.07,71.96,72.74
125.19,321.94,292.19,159.2,72.16,73.01
125.39,322.06,292.19,159.34,72.36,73.34
125.59,322.19,292.19,159.52,72.62,73.43
125.79,322.31,292.19,159.7,73.02,73.7
126.03,322.43,292.19,159.88,73.22,73.97
126.26,322.43,292.19,160.11,73.48,74.38
126.5,322.43,292.19,160.33,74.08,74.38
126.71,322.56,292.3,160.56,74.54,74.65
126.94,322.68,292.41,160.83,75.0,74.86
127.22,322.8,292.51,160.92,75.61,75.07
127.49,322.93,292.62,161.38,76.07,75.54
127.8,322.93,292.72,161.88,76.88,75.6
128.07,322.93,292.83,162.44,77.13,76.02
128.32,322.93,292.94,162.95,77.58,76.44
128.49,322.93,293.04,163.41,78.32,76.54
128.66,322.93,293.15,163.83,78.65,77.12
128.8,322.93,293.26,164.25,79.47,77.38
128.9,322.93,293.26,164.58,79.88,77.8
129.01,322.93,293.26,164.91,80.5,78.1
129.08,322.93,293.26,165.19,81.16,78.48
129.11,322.93,293.26,165.42,81.57,78.77
129.11,323.05,293.26,165.66,82.41,78.98
129.11,323.05,293.15,165.85,83.71,79.62
129.08,323.05,293.04,165.99,85.17,80.54
129.01,323.05,292.94,166.32,86.86,81.38
128.9,323.05,292.83,166.28,87.91,82.45
128.76,323.05,292.72,166.23,88.74,82.9
128.63,323.05,292.62,166.13,88.74,83.11
128.52,323.05,292.51,166.09,88.74,83.11
128.45,323.05,292.41,166.13,83.11,
128.35,323.05,292.3,166.23,88.95,82.93
128.28,323.05,292.19,166.28,88.95,82.9
128.21,322.93,292.19,166.42,88.95,82.9
128.14,322.93,292.19,166.52,88.95,82.93
128.07,322.8,292.19,166.61,88.95,82.93
128.04,322.8,292.19,166.71,88.95,82.93
128.0,322.8,292.19,166.8,88.95,82.93
127.97,322.8,292.19,166.9,88.95,82.93
127.94,322.8,292.19,166.99,88.95,82.93
127.9,322.8,292.19,167.09,88.95,82.93
127.87,322.68,292.19,167.14,88.95,82.93
127.83,322.56,292.19,167.18,88.95,82.93
127.8,322.56,292.19,167.23,88.95,82.93
127.76,322.43,292.19,167.09,88.95,82.93
127.73,322.43,292.19,166.9,88.95,82.93
127.73,322.43,292.19,166.66,88.95,82.93
127.73,322.31,292.19,166.47,88.95,82.93
127.73,322.31,292.19,166.23,88.95,82.93
127.7,322.19,292.19,166.04,88.95,82.93
127.7,322.19,292.19,165.85,88.95,82.93
127.7,322.06,292.19,165.66,88.95,82.93
127.66,321.94,292.19,165.47,88.95,82.93
127.63,321.82,292.19,165.28,88.95,82.93
127.59,321.7,292.19,165.09,88.95,82.93
127.56,321.57,292.19,164.95,88.75,83.09
127.52,321.7,292.19,164.86,88.74,83.09
127.49,321.7,292.19,164.67,88.75,83.09
127.46,321.57,292.19,164.53,88.74,83.09
127.42,321.57,292.19,164.53,88.74,83.09
127.39,321.57,292.19,164.53,88.95,83.09
127.35,321.57,292.19,164.53,88.74,83.09
127.32,321.57,292.19,164.53,88.74,83.09
127.28,321.57,292.19,164.53,88.74,83.09
127.28,321.57,292.19,164.53,88.95,82.87
127.25,321.57,292.19,164.48,88.95,82.87
127.22,321.57,292.19,164.48,88.95,82.87
127.22,321.57,292.19,164.48,88.95,83.09
127.22,321.57,292.19,164.44,88.95,83.09
127.22,321.57,292.19,164.44,88.95,82.9
127.22,321.57,292.19,164.39,88.95,83.09
127.22,321.45,292.19,164.34,88.95,82.9
127.22,321.45,292.19,164.39,88.95,82.9
127.22,321.45,292.19,164.39,88.95,82.9
127.22,321.45,292.19,164.39,88.95,82.9
127.22,321.33,292.19,164.39,88.95,82.9
127.22,321.33,292.19,164.44,88.95,82.9
127.42,321.7,292.41,164.62,88.95,82.9
127.59,321.94,292.51,164.76,88.95,82.9
127.7,322.19,292.62,164.86,88.74,83.28
127.8,322.31,292.62,165.0,88.74,83.09
127.9,322.43,292.62,165.14,88.74,83.09
128.0,322.56,292.62,165.24,88.74,83.09
128.07,322.68,292.62,165.42,88.74,83.09
128.11,322.8,292.51,165.57,88.74,83.09
128.14,322.93,292.51,165.71,88.74,83.3
128.18,323.05,292.41,165.8,88.74,83.3
128.21,323.05,292.3,165.94,88.74,83.3
128.25,323.17,292.2,166.09,88.74,83.3
128.28,323.17,292.09,166.23,88.74,83.3
128.28,323.17,291.98,166.37,88.74,83.3
128.28,323.17,291.88,166.42,88.95,82.9
128.07,322.8,291.56,166.32,88.95,82.9
127.9,322.56,291.35,166.28,88.95,82.9
127.8,322.31,291.14,166.23,88.95,82.9
127.7,322.19,291.04,166.04,88.95,82.9
127.59,322.06,290.93,165.85,88.95,82.9
127.49,321.94,290.83,165.71,84.96,85.08
127.42,321.82,290.72,165.57,81.99,85.27
127.39,321.7,290.72,165.42,79.6,84.65
127.35,321.57,290.62,165.33,76.37,84.84
127.32,321.45,290.62,165.28,74.58,84.2
127.28,321.45,290.62,165.19,73.71,83.54
127.25,321.33,290.62,165.14,73.44,83.54
127.22,321.33,290.62,165.05,73.44,83.54
127.18,321.33,290.62,164.91,73.18,83.54
127.15,321.21,290.62,164.72,72.98,83.54
127.11,321.21,290.62,164.53,72.77,83.54
127.08,321.21,290.62,164.34,72.71,83.73
127.05,321.21,290.62,164.2,72.51,83.73
127.01,321.21,290.62,164.2,72.3,83.54
126.98,321.21,290.62,164.2,72.04,83.73
126.94,321.21,290.62,164.2,72.04,83.73
126.91,321.21,290.62,164.2,72.04,83.54
126.87,321.21,290.62,164.16,71.97,83.73
126.84,321.21,290.62,164.11,71.83,83.54
126.81,321.21,290.62,164.02,71.83,83.54
126.77,321.21,290.62,163.92,71.77,83.54
126.74,321.21,290.62,163.78,71.57,83.54
126.7,321.21,290.62,163.69,71.36,83.54
126.7,321.21,290.62,163.64,71.57,83.54
126.7,321.21,290.62,163.69,71.57,83.54
126.7,321.21,290.62,163.74,71.57,83.54
126.7,321.21,290.62,163.78,71.36,83.54
126.7,321.21,290.62,163.88,71.29,83.54
126.7,321.21,290.62,163.97,71.09,83.54
126.7,321.21,290.62,163.97,71.09,83.54
126.7,321.21,290.62,163.97,70.89,83.75
126.7,321.21,290.62,163.97,70.89,83.75
126.7,321.21,290.62,164.02,70.89,83.75
126.7,321.21,290.51,164.02,70.89,83.75
126.7,321.21,290.41,164.06,70.89,83.75
