Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287223.5196762,63.74,56.86,63.83,65.06,7.5,24.36
1734287223.6466572,63.66,57.01,64.07,65.13,6.85,24.36
1734287223.761052,64.14,57.11,64.14,65.16,6.85,24.36
1734287223.8964808,64.22,57.14,64.12,64.92,6.89,24.16
1734287224.0188413,64.24,56.97,63.79,64.62,7.13,24.16
1734287224.143891,64.02,56.94,63.66,64.76,6.89,24.16
1734287224.2634473,63.72,56.89,63.9,64.87,6.89,24.16
1734287224.395514,63.95,56.92,63.96,64.85,7.34,23.71
1734287224.5193012,63.93,56.78,63.95,65.08,7.34,23.71
1734287224.6415422,63.71,56.73,63.88,65.06,7.09,23.71
1734287224.7659652,63.88,56.58,63.84,65.04,7.09,23.71
1734287224.8810854,64.05,56.58,63.84,65.28,7.09,23.71
1734287225.0126066,64.05,56.81,63.76,65.14,7.09,23.71
1734287225.1403892,64.27,57.0,63.59,65.06,7.09,23.71
1734287225.2678337,64.26,56.83,63.59,64.85,7.09,23.71
1734287225.376703,64.19,56.98,63.6,64.68,7.09,23.71
1734287225.515739,64.31,57.0,63.42,64.85,7.09,23.71
1734287225.6347356,64.19,56.94,63.4,64.85,7.09,23.71
1734287225.7680206,64.29,56.75,63.35,64.8,6.68,23.71
1734287225.884718,64.5,56.76,63.35,64.99,6.27,23.71
1734287226.0102055,64.48,56.75,63.43,65.01,5.62,23.71
1734287226.1259584,64.69,56.97,63.47,64.78,5.62,23.71
1734287226.258984,64.72,56.84,63.43,64.61,6.91,23.07
1734287226.390784,64.43,56.76,63.64,64.87,6.91,23.07
1734287226.4990933,64.22,56.95,63.9,65.13,6.26,23.07
1734287226.633331,64.53,57.06,63.98,65.2,6.26,23.07
1734287226.7553203,64.6,56.94,63.93,64.92,5.85,23.07
1734287226.8903413,64.58,56.72,63.6,64.73,5.85,23.07
1734287227.002465,64.34,56.52,63.38,64.9,5.85,23.07
1734287227.1399226,64.07,56.66,63.62,65.16,5.85,23.07
1734287227.262529,64.33,56.7,63.71,64.97,6.71,22.62
1734287227.3901455,64.31,56.56,63.71,64.97,5.85,23.07
1734287227.5090768,64.0,56.66,63.9,65.23,5.62,23.07
1734287227.631146,64.24,56.86,63.96,65.28,6.71,22.62
1734287227.7569764,64.33,56.76,63.96,65.04,5.85,23.07
1734287227.889771,64.34,56.78,63.71,64.76,6.48,22.62
1734287228.0128753,64.15,56.75,63.31,64.88,6.48,22.62
1734287228.127013,63.88,56.66,63.47,65.09,6.48,22.62
1734287228.2620246,63.88,56.84,63.69,64.76,6.48,22.62
1734287228.3854277,64.12,56.73,63.54,64.78,6.48,22.62
1734287228.5120394,63.69,56.62,63.71,65.21,6.07,22.62
1734287228.634292,63.6,56.76,63.93,65.23,6.07,22.62
1734287228.7489674,64.07,56.76,64.0,65.28,6.07,22.62
1734287228.88214,64.17,56.83,63.98,65.04,5.42,22.62
1734287229.0121682,64.17,56.8,63.57,64.73,5.42,22.62
1734287229.135109,63.93,56.59,63.47,64.88,5.42,22.62
1734287229.2619643,63.66,56.7,63.86,65.02,5.01,22.62
1734287229.3842783,63.88,56.76,63.72,65.04,5.01,22.62
1734287229.506683,63.79,56.62,63.71,65.25,5.01,22.62
1734287229.626746,63.69,56.55,63.66,65.25,5.01,22.62
1734287229.7608263,63.66,56.39,63.6,65.2,5.01,22.62
1734287229.8795502,63.64,56.39,63.74,65.21,5.01,22.62
1734287230.0040472,63.64,56.75,63.67,65.04,5.01,22.62
1734287230.133576,63.86,56.78,63.52,64.95,4.58,22.62
1734287230.2435937,63.72,56.73,63.67,64.81,5.22,21.98
1734287230.376108,63.66,56.9,63.69,64.64,5.04,21.53
1734287230.5069523,63.81,56.83,63.52,64.85,4.61,21.53
1734287230.6305578,63.66,56.73,63.47,64.81,4.81,20.9
1734287230.7469718,63.54,56.55,63.38,64.76,4.6,20.9
1734287230.8838303,63.55,56.59,63.37,64.99,3.74,20.9
1734287231.0048978,63.54,56.73,63.49,65.01,4.43,20.44
1734287231.1328862,63.71,56.75,63.54,64.76,4.43,20.44
1734287231.251386,63.72,56.61,63.69,64.61,4.0,20.44
1734287231.3757584,63.4,56.53,63.88,64.88,4.0,20.44
1734287231.5054123,63.26,56.53,63.88,64.92,4.0,20.44
